Issue Id,Parent Id,Issue Type,Summary,Description,Priority,Status,Labels,Component,Epic Name,Epic Link
EPIC-001,,Epic,Foundation Platform and Security,"Core backend platform, security model, environments, and database baseline from PRD architecture.",Highest,Done,"backend,phase-1,completed",platform,Foundation Platform and Security,
STORY-001,,Story,Create backend service skeleton and dependency stack,"Set up Spring Boot backend with required core dependencies, build tooling, and standard project structure.",Highest,Done,"backend,completed",platform,,Foundation Platform and Security
SUB-001,STORY-001,Sub-task,Define project structure conventions,"Set naming conventions and module/package baseline for maintainable growth.",High,Done,"backend,completed",platform,,
SUB-002,STORY-001,Sub-task,Configure build plugins and annotation processing,"Enable required compiler settings, mapstruct/lombok processing, and packaging defaults.",High,Done,"backend,completed",platform,,
STORY-002,,Story,Set up environments and deployment basics,"Create local and production-ready config patterns, docker assets, and startup documentation.",High,Done,"devops,completed",platform,,Foundation Platform and Security
SUB-003,STORY-002,Sub-task,Create docker-compose stack for local dependencies,"Provide local Postgres and Redis stack for development.",Medium,Done,"devops,completed",platform,,
SUB-004,STORY-002,Sub-task,Document local setup and run workflow,"Provide practical setup docs for team onboarding.",Medium,Done,"devops,completed",platform,,
STORY-003,,Story,Implement authentication and role-based access control,"Deliver JWT auth, roles, and endpoint protection for Admin, Salesperson, Warehouse, and View-only users.",Highest,Done,"security,completed",security,,Foundation Platform and Security
SUB-005,STORY-003,Sub-task,Implement JWT issue and refresh flow,"Create secure access/refresh token lifecycle.",Highest,Done,"security,completed",security,,
SUB-006,STORY-003,Sub-task,Implement role guards on protected routes,"Apply role-based authorization at API layer.",High,Done,"security,completed",security,,
STORY-004,,Story,Establish shared API patterns and exception handling,"Standardize API response envelopes, paging responses, and global error handling.",High,Done,"backend,completed",platform,,Foundation Platform and Security
SUB-007,STORY-004,Sub-task,Create standard response and pagination contracts,"Ensure consistent response shape across endpoints.",Medium,Done,"backend,completed",platform,,
SUB-008,STORY-004,Sub-task,Implement global exception mapping,"Centralize business and system error responses.",Medium,Done,"backend,completed",platform,,
STORY-005,,Story,Deliver user management and admin bootstrap,"Implement user CRUD, profile endpoint, and initial admin bootstrap flow.",High,Done,"user-management,completed",user,,Foundation Platform and Security
STORY-006,,Story,Finalize initial database schema migrations,"Ship core relational schema migrations covering users, inventory, messaging, orders, and POS sessions.",Highest,Done,"database,completed",database,,Foundation Platform and Security
EPIC-002,,Epic,Inventory and Stock Operations,"Inventory catalog, suppliers, stock control, and stock auditability.",Highest,In Progress,"inventory,phase-1-2",inventory,Inventory and Stock Operations,
STORY-007,,Story,Implement supplier management,"Deliver supplier CRUD and searchable supplier listing for procurement workflows.",Medium,Done,"inventory,completed",inventory,,Inventory and Stock Operations
STORY-008,,Story,Implement parts catalog management,"Deliver parts CRUD, search/filter, and low-stock visibility endpoints.",Highest,Done,"inventory,completed",inventory,,Inventory and Stock Operations
SUB-009,STORY-008,Sub-task,Implement parts search and filters,"Provide searchable catalog retrieval for dashboard and bot usage.",Medium,Done,"inventory,completed",inventory,,
SUB-010,STORY-008,Sub-task,Implement low-stock endpoint,"Expose low-stock records for dashboards and alerts.",Medium,Done,"inventory,completed",inventory,,
STORY-009,,Story,Add bulk import for parts catalog,"Support CSV import with validation and update/create behavior for onboarding inventory.",Medium,Done,"inventory,completed",inventory,,Inventory and Stock Operations
STORY-010,,Story,Implement stock movement logging and atomic stock updates,"Record receives, sales, write-offs, and adjustments with audit data and safe stock mutation.",Highest,Done,"inventory,completed",inventory,,Inventory and Stock Operations
SUB-011,STORY-010,Sub-task,Apply concurrency-safe stock mutation,"Use locking/transaction boundaries to prevent stock race conditions.",High,Done,"inventory,completed",inventory,,
SUB-012,STORY-010,Sub-task,Capture actor and movement reference data,"Keep traceability for every stock change.",Medium,Done,"inventory,completed",inventory,,
STORY-011,,Story,Implement low-stock notification workflow,"Generate staff-facing low-stock alerts and configurable threshold rules.",Medium,In Progress,"inventory,alerts",inventory,,Inventory and Stock Operations
STORY-012,,Story,Implement supplier reorder workflow,"Track reorder candidates, reorder status, and supplier lead-time based restock planning.",Medium,To Do,"inventory,reorder",inventory,,Inventory and Stock Operations
EPIC-003,,Epic,Customer Intake and WhatsApp Commerce,"Automated customer intake over WhatsApp with escalation to human operators.",Highest,In Progress,"whatsapp,phase-2",whatsapp,Customer Intake and WhatsApp Commerce,
STORY-013,,Story,Implement customer profile management,"Create customer records with source tracking and vehicle metadata.",High,Done,"customer,completed",customer,,Customer Intake and WhatsApp Commerce
STORY-014,,Story,Implement WhatsApp webhook verification and ingestion,"Add secure webhook verification and inbound message ingestion endpoints.",Highest,Done,"whatsapp,completed",whatsapp,,Customer Intake and WhatsApp Commerce
STORY-015,,Story,Persist conversations and message history,"Store complete inbound/outbound conversation timeline for audit and operator takeover.",High,Done,"whatsapp,completed",whatsapp,,Customer Intake and WhatsApp Commerce
STORY-016,,Story,Implement Redis-backed bot session state,"Maintain bot state, attempts, and expiry to support multi-step conversations.",High,Done,"whatsapp,completed",whatsapp,,Customer Intake and WhatsApp Commerce
STORY-017,,Story,Implement outbound WhatsApp response client,"Enable system-generated WhatsApp responses through official Meta integration.",High,Done,"whatsapp,completed",whatsapp,,Customer Intake and WhatsApp Commerce
STORY-018,,Story,Implement full guided intake flow,"Capture vehicle details, required part details, and attachments through structured bot prompts.",Highest,Done,"whatsapp,intake,completed",whatsapp,,Customer Intake and WhatsApp Commerce
SUB-013,STORY-018,Sub-task,Collect vehicle details in guided sequence,"Capture make, model, year, and optional VIN with validation.",High,Done,"whatsapp,intake,completed",whatsapp,,
SUB-014,STORY-018,Sub-task,Capture required part details and media,"Collect part description, SKU if known, and photo evidence.",High,Done,"whatsapp,intake,completed",whatsapp,,
STORY-019,,Story,Implement real-time stock check reply flow,"Respond to customer with in-stock or out-of-stock outcome based on live inventory.",Highest,Done,"whatsapp,stock-check,completed",whatsapp,,Customer Intake and WhatsApp Commerce
STORY-020,,Story,Implement checkout-link handoff flow,"Send checkout links when stock is available and capture conversion intent.",High,To Do,"whatsapp,commerce",whatsapp,,Customer Intake and WhatsApp Commerce
STORY-021,,Story,Implement alternatives and sourcing-request flow,"Offer alternatives or log sourcing requests when requested part is unavailable.",High,In Progress,"whatsapp,sourcing",whatsapp,,Customer Intake and WhatsApp Commerce
STORY-022,,Story,Implement escalation queue logic,"Flag complex conversations and route them to staff with full context.",Highest,Done,"whatsapp,escalation,completed",whatsapp,,Customer Intake and WhatsApp Commerce
STORY-023,,Story,Implement escalation timeout and retry jobs,"Add scheduled escalation triggers based on inactivity or failed attempts.",Medium,Done,"whatsapp,quartz,completed",whatsapp,,Customer Intake and WhatsApp Commerce
EPIC-004,,Epic,POS and Order Management,"Walk-in POS, order processing, and receipt generation tied to stock operations.",Highest,In Progress,"pos,orders,phase-1-3",orders,POS and Order Management,
STORY-024,,Story,Implement order domain and order APIs,"Create order and order-item lifecycle APIs for internal operations.",High,Done,"orders,completed",orders,,POS and Order Management
STORY-025,,Story,Implement atomic stock decrement on order creation,"Ensure every successful sale mutates stock and logs inventory movement.",Highest,Done,"orders,completed",orders,,POS and Order Management
STORY-026,,Story,Implement POS session management,"Support open, active, and close POS sessions for cashier reconciliation.",Medium,Done,"pos,completed",pos,,POS and Order Management
STORY-027,,Story,Implement receipt PDF generation and download,"Generate printable receipts for completed orders.",Medium,Done,"receipts,completed",orders,,POS and Order Management
STORY-028,,Story,Implement payment mode handling in POS,"Capture cash/card/EFT payment metadata at transaction time.",High,To Do,"pos,payments",pos,,POS and Order Management
SUB-015,STORY-028,Sub-task,Store payment method and reference details,"Persist payment channel and reference IDs for each POS sale.",Medium,To Do,"pos,payments",pos,,
SUB-016,STORY-028,Sub-task,Validate payment-state transition rules,"Ensure payment status aligns with order lifecycle.",Medium,To Do,"pos,payments",pos,,
STORY-029,,Story,Implement POS settlement and day-end reconciliation view,"Provide cash float reconciliation and discrepancy tracking.",Medium,To Do,"pos,reconciliation",pos,,POS and Order Management
STORY-030,,Story,Implement order fulfillment state transitions,"Track pending, confirmed, fulfilled, cancelled, and refunded transitions with audit.",Medium,To Do,"orders,workflow",orders,,POS and Order Management
EPIC-005,,Epic,Shopify and Online Store Integration,"Integration between local platform and Shopify for catalog, checkout, and order sync.",High,In Progress,"shopify,phase-4",shopify,Shopify and Online Store Integration,
STORY-031,,Story,Implement Shopify webhook verification endpoint,"Validate incoming Shopify signatures before processing.",High,Done,"shopify,completed",shopify,,Shopify and Online Store Integration
STORY-032,,Story,Implement Shopify order-created import flow,"Ingest online order events into internal order pipeline.",High,Done,"shopify,completed",shopify,,Shopify and Online Store Integration
STORY-033,,Story,Implement Shopify sync service and API client scaffold,"Provide initial service layer for product/inventory sync operations.",Medium,Done,"shopify,completed",shopify,,Shopify and Online Store Integration
STORY-034,,Story,Implement scheduled Shopify sync job,"Run periodic sync jobs for platform-to-shopify updates.",Medium,Done,"shopify,completed",shopify,,Shopify and Online Store Integration
STORY-035,,Story,Implement bidirectional inventory synchronization,"Keep inventory quantities aligned between internal stock and Shopify.",Highest,To Do,"shopify,inventory-sync",shopify,,Shopify and Online Store Integration
STORY-036,,Story,Implement Shopify checkout-link generation strategy,"Standardize checkout link creation and mapping to internal part context.",Medium,To Do,"shopify,commerce",shopify,,Shopify and Online Store Integration
STORY-037,,Story,Implement website part request submission handling,"Ingest website part-request forms into sourcing and conversation workflows.",Medium,To Do,"shopify,website",shopify,,Shopify and Online Store Integration
EPIC-006,,Epic,Operator Dashboard and Internal Tools,"Role-based internal dashboard for inventory, conversations, orders, POS, and operations.",Highest,In Progress,"dashboard,phase-3",dashboard,Operator Dashboard and Internal Tools,
STORY-038,,Story,Implement dashboard authentication and role-based navigation,"Build role-aware navigation and route access for internal staff.",Highest,Done,"dashboard,auth,completed",dashboard,,Operator Dashboard and Internal Tools
STORY-039,,Story,Implement live inventory management screens,"Enable inventory search, edits, restock actions, and movement drill-down.",High,In Progress,"dashboard,inventory",dashboard,,Operator Dashboard and Internal Tools
STORY-040,,Story,Implement WhatsApp inbox and takeover interface,"Show active conversations and allow seamless human takeover.",Highest,In Progress,"dashboard,whatsapp",dashboard,,Operator Dashboard and Internal Tools
STORY-041,,Story,Implement order operations panel,"Provide order listing, status updates, and fulfillment workflow controls.",High,In Progress,"dashboard,orders",dashboard,,Operator Dashboard and Internal Tools
STORY-042,,Story,Implement POS terminal UI in dashboard,"Enable walk-in sales flow from dashboard interface.",High,Done,"dashboard,pos,completed",dashboard,,Operator Dashboard and Internal Tools
STORY-043,,Story,Implement escalation queue view,"Prioritize and manage conversations requiring urgent human action.",High,Done,"dashboard,escalation,completed",dashboard,,Operator Dashboard and Internal Tools
STORY-044,,Story,Implement broadcast promotions tool,"Support posting promotions to business WhatsApp communication channels.",Medium,To Do,"dashboard,broadcast",dashboard,,Operator Dashboard and Internal Tools
EPIC-007,,Epic,Reporting and Management Insights,"Operational reporting for sales, stock health, and margin visibility.",High,Done,"reporting,phase-5,completed",analytics,Reporting and Management Insights,
STORY-045,,Story,Implement sales summary reporting,"Deliver daily, weekly, and monthly sales totals and trends.",High,Done,"reports,sales,completed",analytics,,Reporting and Management Insights
STORY-046,,Story,Implement top-moving parts reporting,"Show highest-volume parts by selected period.",Medium,Done,"reports,inventory,completed",analytics,,Reporting and Management Insights
STORY-047,,Story,Implement dead-stock reporting,"Surface slow/non-moving inventory items for liquidation or review.",Medium,Done,"reports,inventory,completed",analytics,,Reporting and Management Insights
STORY-048,,Story,Implement gross margin reporting,"Provide margin visibility by item, order, and period.",Medium,Done,"reports,margin,completed",analytics,,Reporting and Management Insights
STORY-049,,Story,Implement management dashboard widgets,"Expose key operational KPIs for executive oversight.",Medium,Done,"reports,dashboard,completed",analytics,,Reporting and Management Insights
EPIC-008,,Epic,Public Website and Customer Experience,"Public site, catalog, and customer self-service paths.",High,In Progress,"website,phase-4",web,Public Website and Customer Experience,
STORY-050,,Story,Implement mobile-first marketing website pages,"Build services, contact, and business information pages.",Medium,Done,"website,content,completed",web,,Public Website and Customer Experience
STORY-051,,Story,Implement online catalog browsing experience,"Expose searchable product catalog powered by live inventory data.",High,To Do,"website,catalog",web,,Public Website and Customer Experience
STORY-052,,Story,Implement website checkout experience via Shopify,"Route customer purchases through secure Shopify checkout.",High,To Do,"website,checkout",web,,Public Website and Customer Experience
STORY-053,,Story,Implement customer part-request form,"Capture custom part requests and route to sourcing workflow.",Medium,To Do,"website,lead-capture",web,,Public Website and Customer Experience
EPIC-009,,Epic,Quality, Deployment, and Handover,"Final QA, production readiness, go-live, and client training commitments from PRD.",High,To Do,"delivery,qa,handover",delivery,Quality, Deployment, and Handover,
STORY-054,,Story,Execute end-to-end QA across all modules,"Validate customer journey, staff operations, integrations, and security paths.",High,To Do,"qa",delivery,,Quality, Deployment, and Handover
STORY-055,,Story,Prepare production deployment and runbooks,"Finalize infrastructure setup, environment hardening, and operations documentation.",High,To Do,"deployment",delivery,,Quality, Deployment, and Handover
STORY-056,,Story,Perform stakeholder UAT and sign-off cycle,"Run UAT sessions, capture feedback, and complete acceptance closure.",Medium,To Do,"uat",delivery,,Quality, Deployment, and Handover
STORY-057,,Story,Deliver handover training and ownership package,"Provide source handover, admin training, and operational onboarding.",Medium,To Do,"handover",delivery,,Quality, Deployment, and Handover
